"Tdiff","Tpdiff","Trho","Tprho","Tcause","Mdiff","Mpdiff","Mrho","Mprho","Mcause","xstr"
-5.13691039150798e-05,0.0611400646250931,0.683344168394697,4.21496164822187e-22,0,-7.76282167882698e-05,0.0513240536334974,0.707407971095262,2.52565373185964e-12,0,0.470050840172917
-4.53932032029408e-05,0.254328861633873,0.627228822582491,4.02145284338261e-21,0,-7.5532242984803e-05,0.0384687964768627,0.562809241291287,1.93172065798055e-20,1,0.731625354383141
-4.40106098367458e-05,0.180257611621418,0.660566768654406,2.87818208532991e-21,0,-9.22194655354584e-05,0.0152908739198738,0.794692012435568,5.62262791734826e-07,1,0.696300616022199
-0.000121527809121352,0.0387112775815956,0.659608425436727,2.05671314356757e-21,1,-7.46500642862371e-05,0.138812302953565,0.392922225875591,2.10938705742913e-14,0,0.608814012259245
-0.000157186479753563,0.0430017589756101,0.502667947191235,1.94038209713798e-20,1,-0.000156594639918447,0.0544135417886352,0.703361462459782,7.84217625280521e-09,0,0.0178002736065537
-3.86737639833915e-05,0.226244899869031,0.522674824915397,2.22914621338312e-18,0,-6.4329732381117e-05,0.067206418048282,0.392489867920905,1.0890251727385e-14,0,0.750770047539845
-9.08751232952379e-06,0.795071864389199,0.436570279768234,2.07863626633804e-15,0,-7.10480501537862e-05,0.0953322982493003,0.490662034726342,1.29044628911006e-16,0,0.267549717798829
-8.21363022396889e-05,0.0768186867216757,0.859198764506203,5.26105566809533e-07,0,-3.98921085220157e-05,0.0462749978511144,0.676234917249762,1.68282815480148e-21,1,0.456257421523333
-3.75290957714928e-05,0.337215038707005,0.426687314684655,1.29224961970622e-09,0,-0.000103239917946721,0.199322831528012,0.237201719510089,2.98694794681081e-09,0,0.519733596360311
-4.05306499094566e-05,0.305519268267575,0.744989498648396,3.93284768946234e-12,0,-6.88562341155914e-05,0.103461755484847,0.557377764030114,9.37927447500971e-21,0,0.979283860186115
